Character_Count,Character_Count_(No_Spaces),Unique_Characters,Word_Count,Sentence_Count,Characters_per_Word,Words_per_Sentence,Characters_per_Sentence,Character_Freq,Source_Language,Language
5730,5081,29,635,1,8.001574803149607,635.0,5081.0,"{'s': 162, 'e': 121, 'q': 199, 'j': 239, 'i': 297, 'n': 477, 'w': 130, 'ʌ': 299, ' ': 635, '\n': 14, 't': 218, 'ɕ': 131, 'm': 134, 'u': 132, 'o': 268, 'd': 266, 'ɯ': 296, 'ɾ': 189, 'ɡ': 141, 'ŋ': 147, 'ʃ': 26, 'h': 258, 'b': 31, 'ɐ': 487, 'ɫ': 120, 'p': 121, 'ʑ': 96, 'ɛ': 61, 'k': 20, 'l': 3, 'r': 12}",(Korean),_koKorean
7213,6391,29,808,1,7.909653465346534,808.0,6391.0,"{'d': 84, 'e': 175, 't': 459, 's': 400, 'l': 64, 'a': 1392, 'r': 203, 'i': 539, 'o': 162, 'n': 654, ' ': 808, 'u': 327, 'v': 6, 'ʃ': 143, 'h': 139, 'm': 222, 'q': 278, '\n': 14, 'ʎ': 103, 'p': 282, 'j': 234, 'k': 335, 'ɡ': 19, 'b': 23, 'w': 78, 'ɲ': 17, '`': 16, 'ʔ': 19, 'f': 7, 'ː': 9, 'z': 2}",(Korean),_quQuechua
7231,5988,27,1229,1,4.872253864930838,1229.0,5988.0,"{'h': 275, 'χ': 402, 'r': 218, 'z': 105, ' ': 1229, 'ʔ': 436, 'v': 863, 'n': 217, 'i': 451, 's': 175, 'l': 445, 't': 515, 'd': 181, 'j': 169, 'o': 213, 'm': 406, '\n': 14, 'a': 238, 'ʃ': 257, 'ə': 61, 'k': 69, 'u': 18, 'f': 159, 'ŋ': 4, 'ɡ': 49, 'e': 42, 'ɣ': 13, 'b': 5, 'p': 2}",(Korean),_iwHebrew
7673,6156,37,1306,1,4.713629402756508,1306.0,6156.0,"{'h': 308, 'χ': 403, 'r': 208, 'z': 112, ' ': 1306, 'ʔ': 446, 'v': 881, 'n': 211, 'i': 463, 's': 178, 'l': 479, 't': 475, 'd': 186, 'j': 194, 'o': 174, 'm': 401, '\n': 211, 'k': 73, 'a': 258, 'ʃ': 285, 'ə': 71, 'e': 53, 'p': 10, 'u': 26, 'f': 149, 'ɡ': 56, 'ŋ': 4, 'ɣ': 13, 'b': 5, 'ɪ': 14, 'ɛ': 4, 'ɒ': 3, 'ɜ': 2, 'ː': 3, 'ʒ': 1, 'ɹ': 4, 'w': 1, 'ɐ': 1, 'ð': 1}",(English),_iwHebrew
7975,6421,27,1358,1,4.728276877761414,1358.0,6421.0,"{'h': 325, 'χ': 436, 'r': 221, 'z': 98, ' ': 1358, 'ʔ': 477, 'v': 903, 'n': 228, 'i': 479, 's': 190, 'l': 465, 't': 550, 'd': 183, 'j': 206, 'o': 194, 'm': 430, '\n': 196, 'k': 83, 'ʃ': 315, 'a': 253, 'ɡ': 61, 'u': 21, 'p': 3, 'e': 47, 'ə': 63, 'f': 165, 'ŋ': 6, 'ɣ': 13, 'b': 6}",(Portuguese),_iwHebrew
8150,6413,27,1374,1,4.667394468704512,1374.0,6413.0,"{'h': 325, 'χ': 416, 'r': 233, 'z': 113, ' ': 1374, 'ʔ': 505, 'v': 920, 'n': 233, 'i': 463, 's': 191, 'l': 482, 't': 527, 'd': 173, 'j': 188, 'o': 179, 'm': 445, '\n': 363, 'a': 268, 'e': 59, 'f': 166, 'k': 69, 'ʃ': 288, 'p': 3, 'u': 17, 'ɡ': 58, 'ə': 67, 'ɣ': 15, 'b': 7, 'ŋ': 3}",(Arabic),_iwHebrew
8152,6506,28,1380,1,4.714492753623189,1380.0,6506.0,"{'h': 285, 'χ': 428, 'r': 262, 'z': 109, ' ': 1380, 'ʔ': 459, 'v': 944, 'n': 206, 'i': 485, 's': 211, 'l': 484, 't': 549, 'd': 174, 'j': 197, 'o': 198, 'm': 444, '\n': 266, 'k': 83, 'a': 302, 'ʃ': 313, 'ɣ': 15, 'e': 55, 'f': 168, 'ɪ': 3, 'u': 19, 'b': 6, 'p': 4, 'ɡ': 46, 'ə': 53, 'ŋ': 4}",(Russian),_iwHebrew
8305,6659,28,1405,1,4.739501779359431,1405.0,6659.0,"{'h': 343, 'χ': 455, 'r': 226, 'z': 110, ' ': 1405, 'ʔ': 469, 'v': 948, 'n': 239, 'i': 486, 's': 174, 'l': 485, 't': 564, 'd': 193, 'j': 229, 'o': 202, 'm': 455, '\n': 241, 'a': 284, 'f': 162, 'ʃ': 315, 'ɣ': 15, 'e': 66, 'ɪ': 3, 'b': 6, 'k': 70, 'u': 19, 'p': 4, 'ɡ': 59, 'ə': 73, 'ŋ': 5}",(Spanish),_iwHebrew
8451,6787,27,1433,1,4.736217725052338,1433.0,6787.0,"{'h': 349, 't': 592, 's': 203, 'a': 269, 'r': 240, ' ': 1433, 'ʔ': 511, 'v': 923, 'n': 243, 'i': 528, 'l': 504, 'ʃ': 314, 'z': 118, 'χ': 451, 'j': 207, 'o': 224, 'd': 181, 'm': 476, '\n': 231, 'e': 56, 'f': 159, 'ɣ': 14, 'b': 6, 'k': 69, 'u': 18, 'ɡ': 69, 'ə': 57, 'ŋ': 3, 'p': 3}",(Japanese),_iwHebrew
8615,6792,40,1560,1,4.3538461538461535,1560.0,6792.0,"{'v': 843, 'e': 87, 't': 501, ' ': 1560, 's': 145, 'r': 210, 'd': 170, 'm': 503, 'a': 316, 'χ': 459, 'l': 570, 'f': 92, 'ʃ': 368, 'ʔ': 528, 'o': 200, 'ɣ': 16, 'b': 20, 'i': 425, 'n': 342, 'h': 291, '\n': 263, 'z': 136, 'j': 232, 'ə': 71, 'k': 61, 'u': 38, 'ɡ': 71, 'ɛ': 9, 'w': 11, 'ɪ': 22, 'p': 9, 'ŋ': 5, 'ː': 16, 'ʌ': 1, 'ð': 6, 'ʒ': 1, 'ɒ': 5, 'ɐ': 2, 'ɹ': 4, 'ɔ': 3, 'ʊ': 2, 'ɜ': 1}",(Quechua),_iwHebrew
