char_count_diff,levenshtein_distance,normalized_edit_distance,tfidf_cosine_similarity,target_lang
-52,190,0.0027459821944733494,1.0,en
-334,5567,0.08045727829806915,0.9984522086941748,eo
-566,6280,0.09076193779627703,0.9983224811201462,af
-1276,8186,0.11830847496820442,0.9983200553055326,ro
-1026,8660,0.12515897791652214,0.9982525315753114,pt
154,8965,0.12927926628788972,0.9981999872411478,it
-1017,6777,0.09794484911550468,0.9981811464276431,lb
-2150,8515,0.12306335992600301,0.9981506282024921,tl
-748,6842,0.09888426407677188,0.9981209388415763,fy
-1179,8439,0.12196496704821366,0.9981044189249008,sq
-1093,8903,0.1286709446178749,0.9981035134094404,ca
-1135,10170,0.14698231009365245,0.99809337815999,bs
-1166,8446,0.1220661348132732,0.9980916633898906,ilo
-389,9830,0.1420684472193317,0.9980807786028016,fr
-1598,11410,0.16490345704705747,0.9980219851336589,sk
-1539,11080,0.16013411955139323,0.9980052643703504,cs
-641,7230,0.10449184876864377,0.9979885028896953,da
-737,7589,0.10968030986241184,0.9979721154941734,sv
-1146,10404,0.15036420395421435,0.9979472182059178,nso
-805,6931,0.10017053994681466,0.9979301092985815,no
137,9088,0.13108511589666663,0.9979079555448587,es
-1238,9212,0.1331367788183605,0.9978780569646969,gl
-1426,11750,0.1698173199213782,0.9978564283715847,sl
-631,9406,0.13594057116429645,0.9977948445424358,nl
-1288,7736,0.11180483292866228,0.9977624294285483,mt
-741,8740,0.12631518094577407,0.9976050690358726,cy
-221,10250,0.14813851312290438,0.9975632638523745,hr
-782,14580,0.21071800208116545,0.9975433897400358,tr
-1597,10652,0.15394843334489536,0.9975293966238404,gd
-1091,13299,0.1922043010752688,0.9973574651175064,de
-1268,8113,0.11725343970401203,0.9972875298541041,ht
-1145,10985,0.15876112845415655,0.9972502973204593,ga
-1716,12269,0.17731818707365013,0.9972277012595295,ts
-870,14321,0.2069747947739623,0.9972207627741135,pl
-1817,13043,0.1885044513816626,0.9971684707070912,lv
-1439,9700,0.14018961729679733,0.9970549451678791,ms
-1834,9672,0.13978494623655913,0.997006190383766,ceb
-2696,13205,0.1908457625158978,0.9969789645556403,eu
-2863,15914,0.22999768759394149,0.9968299126776945,lt
-505,11928,0.17238987166146374,0.996815948852902,id
-1856,11499,0.16618973291710024,0.9967677043399142,is
-2357,10150,0.14669325933633945,0.9966747602957006,su
-833,7949,0.11488322349404556,0.9966506081011243,co
-3126,16476,0.23812001387443635,0.9966021381313592,om
-961,12386,0.1790091340039311,0.996543183809587,vi
-3109,13982,0.20207538443750722,0.9963957969842187,ku
-2213,14812,0.21407099086599607,0.9963846627048001,et
-2939,16997,0.2456497861024396,0.996309726052164,uz
-2340,14655,0.21180194242108916,0.9962722371773322,lg
-2218,16005,0.23131286853971558,0.9962540606761008,az
-1985,12870,0.1860041623309053,0.9962316148839282,sw
-2348,12210,0.17646548733957684,0.9961851160030978,gn
-2695,13883,0.20064458318880796,0.9961457536135463,zu
-2472,13531,0.19555728986009943,0.9961366843957403,fi
-2964,11987,0.17324257139553706,0.9960690565418971,yo
-3231,12324,0.17811307665626083,0.9960665853143797,kri
-2078,14828,0.21430223147184646,0.9960366695831395,hu
-2723,13195,0.1907012371372413,0.9959649792811229,la
-3697,18996,0.27454040929587237,0.9956774266594187,ee
-4105,14687,0.2122644236327899,0.9956399175606719,so
-3265,18097,0.2615475777546537,0.9955437538901565,lus
-4036,17684,0.2555786796161406,0.9948723716419899,ay
-3307,14440,0.20869464677997457,0.9948220185989611,xh
-3170,15503,0.22405769453115967,0.9947037891883789,st
-2830,11640,0.16822754075615678,0.9946277612215358,jw
-3409,15001,0.21680252052260376,0.9945384771360704,sn
-2160,15150,0.2189559486645855,0.9945357378206526,ln
-3199,18654,0.2695976413458203,0.9942354610609246,qu
-6433,19845,0.2868106139438085,0.9942278513653167,tk
-6461,22019,0.3182304312637299,0.9941701417397323,bm
-3833,19378,0.28006127876055037,0.9941683315725929,ak
-5457,17481,0.2526448144294138,0.9936133127977557,haw
-4109,16647,0.24059139784946237,0.9934448388353759,ig
-3813,16469,0.23801884610937682,0.9933034093170545,ha
-4900,18793,0.2716065441091456,0.9932804554774906,ny
-4728,14453,0.20888252977222801,0.993148394095685,hmn
-6609,20083,0.29025031795583306,0.9931454128515699,rw
-4801,17715,0.2560267082899757,0.9926325078143502,mi
-5061,17310,0.2501734304543878,0.9924283666190459,sm
-4420,16860,0.24366978841484566,0.9918286920986196,mg
