source,target_lang,char_count
english,af,71216
english,ak,68561
english,am,45543
english,ar,62109
english,as,63514
english,ay,78405
english,az,68367
english,be,71157
english,bg,72830
english,bho,67250
english,bm,67559
english,bn,63533
english,bs,66903
english,ca,75641
english,ceb,80736
english,ckb,68068
english,co,74981
english,cs,65099
english,cy,69944
english,da,68367
english,de,78528
english,doi,69248
english,dv,80278
english,ee,70583
english,el,76847
english,eo,68315
english,es,78413
english,et,65037
english,eu,70142
english,fa,60789
english,fi,69448
english,fr,81202
english,fy,71648
english,ga,75472
english,gd,81536
english,gl,73051
english,gn,68817
english,gom,64369
english,gu,64715
english,ha,71036
english,haw,71740
english,hi,68002
english,hmn,78206
english,hr,67271
english,ht,61923
english,hu,68653
english,hy,70805
english,id,72305
english,ig,66222
english,ilo,86276
english,is,64348
english,it,78418
english,iw,53153
english,ja,29305
english,jw,66785
english,ka,70088
english,kk,67954
english,km,63725
english,kn,69025
english,ko,33412
english,kri,66386
english,ku,66553
english,ky,69932
english,la,66405
english,lb,74553
english,lg,76854
english,ln,77403
english,lo,62161
english,lt,68545
english,lus,72297
english,lv,66919
english,mai,67077
english,mg,79703
english,mi,71043
english,mk,72125
english,ml,72679
english,mn,65966
english,mni-Mtei,69609
english,mr,65690
english,ms,71736
english,mt,73514
english,my,75016
english,ne,63481
english,nl,76837
english,no,66958
english,nso,83385
english,ny,74427
english,om,80685
english,or,63048
english,pa,66869
english,pl,72892
english,ps,62215
english,pt,73821
english,qu,76093
english,ro,73643
english,ru,72733
english,rw,67188
english,sa,64042
english,sd,62144
english,si,62600
english,sk,66351
english,sl,66952
english,sm,72114
english,sn,71364
english,so,77287
english,sq,73106
english,sr,66146
english,st,77807
english,su,67258
english,sv,68589
english,sw,71822
english,ta,74169
english,te,67549
english,tg,68931
english,th,60539
english,ti,46889
english,tk,65011
english,tl,81869
english,tr,68082
english,ts,83592
english,tt,61050
english,ug,67828
english,uk,69325
english,ur,65444
english,uz,72298
english,vi,69238
english,xh,76256
english,yi,74242
english,yo,65384
english,zh-CN,21825
english,zh-TW,21609
english,zu,76590
japanese,af,759
japanese,ak,729
japanese,am,480
japanese,ar,643
japanese,as,643
japanese,ay,802
japanese,az,701
japanese,be,750
japanese,bg,757
japanese,bho,815
japanese,bm,750
japanese,bn,662
japanese,bs,755
japanese,ca,827
japanese,ceb,866
japanese,ckb,754
japanese,co,780
japanese,cs,758
japanese,cy,739
japanese,da,723
japanese,de,755
japanese,doi,672
japanese,dv,852
japanese,ee,791
japanese,el,768
japanese,en,706
japanese,eo,724
japanese,es,798
japanese,et,713
japanese,eu,793
japanese,fa,600
japanese,fi,771
japanese,fr,739
japanese,fy,748
japanese,ga,753
japanese,gd,785
japanese,gl,804
japanese,gn,778
japanese,gom,688
japanese,gu,656
japanese,ha,737
japanese,haw,759
japanese,hi,651
japanese,hmn,820
japanese,hr,747
japanese,ht,641
japanese,hu,722
japanese,hy,751
japanese,id,714
japanese,ig,687
japanese,ilo,882
japanese,is,721
japanese,it,790
japanese,iw,597
japanese,jw,719
japanese,ka,757
japanese,kk,684
japanese,km,697
japanese,kn,699
japanese,ko,409
japanese,kri,698
japanese,ku,685
japanese,ky,770
japanese,la,707
japanese,lb,744
japanese,lg,846
japanese,ln,776
japanese,lo,671
japanese,lt,806
japanese,lus,797
japanese,lv,760
japanese,mai,654
japanese,mg,810
japanese,mi,774
japanese,mk,741
japanese,ml,771
japanese,mn,694
japanese,mni-Mtei,696
japanese,mr,649
japanese,ms,711
japanese,mt,759
japanese,my,774
japanese,ne,648
japanese,nl,752
japanese,no,717
japanese,nso,854
japanese,ny,780
japanese,om,862
japanese,or,688
japanese,pa,642
japanese,pl,781
japanese,ps,640
japanese,pt,754
japanese,qu,912
japanese,ro,744
japanese,ru,795
japanese,rw,767
japanese,sa,740
japanese,sd,618
japanese,si,702
japanese,sk,763
japanese,sl,736
japanese,sm,723
japanese,sn,746
japanese,so,768
japanese,sq,726
japanese,sr,739
japanese,st,808
japanese,su,690
japanese,sv,739
japanese,sw,791
japanese,ta,758
japanese,te,716
japanese,tg,693
japanese,th,677
japanese,ti,509
japanese,tk,709
japanese,tl,821
japanese,tr,695
japanese,ts,958
japanese,tt,642
japanese,ug,754
japanese,uk,763
japanese,ur,651
japanese,uz,707
japanese,vi,695
japanese,xh,790
japanese,yi,756
japanese,yo,677
japanese,zh-CN,324
japanese,zh-TW,324
japanese,zu,840
