language,char_count,word_count,avg_characters_per_word,unique_characters,file_size,compressed_size,compression_ratio
chinese (traditional),23740,1043,22.761,1414,65601,27397,0.4176308287983415
chinese (simplified),24467,1039,23.549,1388,66532,27552,0.4141165153610293
japanese,35178,1089,32.303,1236,98304,31758,0.32305908203125
korean,38645,8620,4.483,738,88886,29272,0.329320702922845
amharic,47110,8794,5.357,276,117791,32069,0.27225339796758663
tigrinya,49499,9551,5.183,274,122786,33146,0.26994934275894644
hebrew,55969,9473,5.908,88,98336,28237,0.28714814513504716
arabic,62383,10298,6.058,96,111655,31645,0.28341767050288835
persian,65143,12857,5.067,103,114637,30854,0.2691452148957143
sindhi,65477,13675,4.788,132,114081,31085,0.2724818330835108
latin,65599,8618,7.612,78,65607,25587,0.3900041154145137
tatar,66847,8668,7.712,128,120962,30071,0.24859873348654948
thai,66989,2115,31.673,134,188792,37633,0.19933577693970084
pashto,67150,14463,4.643,124,116860,31293,0.2677819613212391
gujarati,68092,11052,6.161,113,174514,36019,0.20639604845456525
nepali,68712,10044,6.841,132,179015,35987,0.20102784682847807
czech,68984,10345,6.668,103,76503,30158,0.3942067631334719
maithili,69098,13164,5.249,140,173449,37626,0.21692831898713744
haitian creole,69334,12880,5.383,82,70960,25625,0.36111894024802704
sinhala,69358,10623,6.529,135,177675,37244,0.20961868580272972
turkmen,69655,8638,8.064,86,76308,26220,0.3436074854536877
urdu,69800,14609,4.778,117,120945,31845,0.26330150068212826
serbian,69840,10774,6.482,112,125794,34346,0.27303369000111294
bengali,70199,10523,6.671,128,182432,35644,0.19538238905455182
sanskrit,70251,8802,7.981,144,185160,36881,0.1991844890905163
marathi,70431,9747,7.226,126,184432,37053,0.20090331395853214
slovak,70456,10402,6.773,106,76768,30392,0.39589412255106293
slovenian,70744,10803,6.549,84,72312,28119,0.3888566213076668
assamese,70840,10282,6.89,136,184505,36366,0.19710034958402212
estonian,70925,9384,7.558,84,72896,27726,0.3803500877963126
croatian,70948,10653,6.66,85,72667,28656,0.39434681492286733
bosnian,70976,10766,6.593,87,72716,28912,0.3976016282523791
latvian,71019,9875,7.192,94,77461,28659,0.3699797317359704
konkani,71020,10115,7.021,138,185179,37165,0.20069770330329034
lithuanian,71247,9525,7.48,96,75591,28685,0.3794763926922517
kurdish (kurmanji),71456,12637,5.655,88,77847,28063,0.3604891646434673
punjabi,71834,13555,5.299,109,180757,36815,0.20367122711706878
ukrainian,71847,10259,7.003,130,128584,35620,0.2770173583027437
bhojpuri,72216,14412,5.011,128,179772,36768,0.20452573259461984
kazakh,72244,8906,8.112,138,131734,32437,0.24623104134088392
igbo,72471,13566,5.342,103,85813,25728,0.29981471338841437
kinyarwanda,72587,9184,7.904,78,72724,25588,0.35185083328749794
telugu,72662,8878,8.185,115,192826,37250,0.193179343034653
belarusian,72965,10359,7.044,121,131010,35622,0.2719029081749485
hindi,72979,13644,5.349,108,184981,37314,0.20171801428254793
odia (oriya),73061,11184,6.533,129,185626,35712,0.1923868423604452
yoruba,73142,14146,5.171,112,85229,28442,0.33371270342254394
dogri,73195,13756,5.321,135,184201,39391,0.21384791613509155
esperanto,73241,11780,6.217,86,74528,27213,0.3651379347359382
icelandic,73266,11513,6.364,96,80718,30067,0.372494363091256
kannada,73439,8213,8.942,112,196679,36507,0.18561717316032722
azerbaijani,74249,9652,7.693,92,86323,29196,0.33821808787924423
kurdish (sorani),74265,10772,6.894,100,134459,32628,0.2426613317070631
kyrgyz,74329,9335,7.962,130,135353,33412,0.24685082709655493
tajik,74686,11563,6.459,145,133722,34968,0.2614977341050837
swahili,74773,11195,6.679,76,74798,26219,0.35053076285462176
khmer,74835,2827,26.472,156,209458,40486,0.1932893467902873
mongolian,74905,10400,7.202,130,135197,32950,0.2437184257047124
krio,74992,16072,4.666,83,82457,27504,0.3335556714408722
javanese,75021,10495,7.148,79,75161,26497,0.35253655486222907
uyghur,75172,9703,7.747,102,137243,31881,0.2322960005246169
turkish,75614,9542,7.924,88,82544,29101,0.35255136654390384
basque,75647,9239,8.188,77,75673,27006,0.35687761817292823
hausa,75907,13416,5.658,90,76667,26150,0.3410854735414194
georgian,76411,9150,8.351,95,202548,39061,0.19284811501471255
norwegian,76524,12230,6.257,83,77874,28534,0.36641240979017387
polish,76588,10560,7.253,97,81365,31182,0.3832360351502489
hawaiian,76609,16402,4.671,83,82288,24093,0.2927887419793895
hungarian,76659,10007,7.661,95,83925,31144,0.3710932380101281
macedonian,76874,11968,6.423,123,137887,34776,0.2522065169305301
galician,76880,11886,6.468,91,78645,28673,0.36458770424057474
finnish,77194,9021,8.557,79,80113,29210,0.36460998839139713
shona,77377,8938,8.657,79,77398,26914,0.3477350835938913
