rank,language,char_count,word_count,avg_characters_per_word,unique_characters,file_size,compressed_size,compression_ratio,script_type
1,chinese (traditional),23747,1043,22.768,1412,65622,27400,0.41754289719911003,Logographic
2,chinese (simplified),24464,1039,23.546,1388,66523,27550,0.41414247703801693,Logographic
3,japanese,35394,1143,30.966,1241,98208,31928,0.32510589768654286,Logographic/Syllabic
4,korean,38659,8624,4.483,737,88918,29283,0.3293258957691356,Featural-Syllabic
5,amharic,47114,8796,5.356,276,117793,32070,0.27225726486293755,Abugida
6,tigrinya,49512,9547,5.186,274,122823,33154,0.26993315584214683,Abugida
7,hebrew,55982,9473,5.91,88,98362,28242,0.2871230759846282,Abjad
8,arabic,62410,10304,6.057,96,111703,31659,0.28342121518670044,Abjad
9,persian,65147,12858,5.067,103,114644,30857,0.26915494923415095,Abjad
10,sindhi,65466,13675,4.787,132,114062,31081,0.27249215339026145,Abjad
11,latin,65628,8620,7.613,78,65636,25582,0.38975562191480284,Alphabet
12,tatar,66812,8667,7.709,128,120891,30055,0.24861238636457636,Alphabet
13,pashto,67137,14458,4.644,124,116836,31294,0.2678455270635763,Abjad
14,thai,67168,2340,28.704,138,186307,38114,0.20457631758334363,Abugida
15,gujarati,68103,11055,6.16,113,174539,36016,0.20634929729172277,Abugida
16,nepali,68712,10044,6.841,132,179015,35997,0.2010837080691562,Abugida
17,maithili,69089,13162,5.249,140,173430,37634,0.21699821253531684,Alphabet
18,czech,69101,10371,6.663,104,76549,30318,0.3960600399743955,Alphabet
19,sinhala,69353,10624,6.528,135,177660,37244,0.20963638410446922,Abugida
20,haitian creole,69436,12869,5.396,82,71032,25856,0.3640049555130082,Alphabet
21,turkmen,69591,8633,8.061,86,76236,26194,0.3435909544047432,Alphabet
22,urdu,69819,14615,4.777,117,120978,31860,0.26335366760898676,Abjad
23,serbian,69837,10775,6.481,88,125880,34226,0.2718938671750874,Alphabet
24,bengali,70201,10524,6.671,128,182434,35642,0.19536928423429842,Abugida
25,sanskrit,70284,8815,7.973,144,185241,36893,0.1991621725212021,Abugida
26,marathi,70450,9750,7.226,126,184481,37058,0.20087705508968404,Abugida
27,slovenian,70742,10803,6.548,84,72308,28114,0.3888089837915583,Alphabet
28,slovak,70751,10472,6.756,107,76872,30784,0.40045790404828807,Alphabet
29,assamese,70866,10284,6.891,136,184583,36361,0.19698997199092008,Abugida
30,croatian,70938,10655,6.658,85,72657,28665,0.394524959742351,Alphabet
31,estonian,70996,9405,7.549,85,72956,27872,0.3820384889522452,Alphabet
32,bosnian,70997,10769,6.593,87,72735,28910,0.3974702687839417,Alphabet
33,latvian,71026,9876,7.192,94,77468,28660,0.36995920896370116,Alphabet
34,konkani,71029,10118,7.02,138,185186,37175,0.2007441167258864,Alphabet
35,lithuanian,71254,9542,7.467,97,75566,28806,0.3812031866183204,Alphabet
36,kurdish (kurmanji),71453,12636,5.655,88,77844,28062,0.360490211191614,Alphabet
37,punjabi,71832,13556,5.299,109,180749,36816,0.2036857741951546,Abugida
38,ukrainian,71878,10264,7.003,130,128639,35630,0.2769766556021113,Alphabet
39,bhojpuri,72203,14406,5.012,128,179761,36732,0.20433798209845294,Alphabet
40,kazakh,72238,8904,8.113,138,131723,32436,0.24624401205560154,Alphabet
41,igbo,72502,13573,5.342,103,85848,25734,0.29976237070170536,Alphabet
42,kinyarwanda,72588,9187,7.901,78,72723,25600,0.3520206812150214,Alphabet
43,telugu,72652,8876,8.185,115,192798,37237,0.19313997033164246,Abugida
44,belarusian,72987,10359,7.046,121,131053,35618,0.2717831716938948,Alphabet
45,hindi,73030,13656,5.348,108,185108,37350,0.20177409944464852,Abugida
46,odia (oriya),73101,11186,6.535,129,185774,35720,0.19227663720434507,Alphabet
47,yoruba,73163,14144,5.173,112,85239,28443,0.3336852849047971,Alphabet
48,dogri,73232,13762,5.321,135,184302,39395,0.21375242807999914,Alphabet
49,esperanto,73238,11780,6.217,86,74525,27216,0.3651928882925193,Alphabet
50,icelandic,73253,11511,6.364,96,80702,30069,0.3725929964560977,Alphabet
51,kannada,73418,8210,8.943,112,196622,36502,0.1856455533968732,Abugida
52,kurdish (sorani),74231,10770,6.892,100,134393,32620,0.24272097505078388,Abjad
53,azerbaijani,74275,9656,7.692,92,86351,29207,0.3382358050283147,Alphabet
54,kyrgyz,74394,9341,7.964,130,135479,33418,0.2466655348799445,Alphabet
55,tajik,74707,11567,6.459,145,133759,35005,0.261702016312921,Alphabet
56,swahili,74783,11192,6.682,76,74808,26231,0.35064431611592345,Alphabet
57,khmer,74847,2828,26.466,156,209496,40469,0.19317313934394928,Abugida
58,mongolian,74974,10401,7.208,130,135335,32979,0.2436841910813906,Alphabet
59,krio,74979,16067,4.667,83,82439,27503,0.3336163708924174,Alphabet
60,javanese,75004,10493,7.148,79,75143,26490,0.35252784690523403,Abugida
61,uyghur,75213,9704,7.751,102,137332,31892,0.23222555558791833,Alphabet
62,turkish,75630,9545,7.924,88,82559,29111,0.3526084376021996,Alphabet
63,basque,75654,9240,8.188,77,75680,27012,0.35692389006342495,Alphabet
64,hausa,75933,13419,5.659,90,76691,26162,0.3411352049132232,Alphabet
65,georgian,76388,9146,8.352,95,202489,39061,0.1929043059129138,Alphabet
66,norwegian,76516,12224,6.259,83,77831,28841,0.37055928871529337,Alphabet
67,hawaiian,76587,16396,4.671,83,82254,24095,0.29293408223308287,Alphabet
68,polish,76591,10561,7.252,97,81367,31190,0.3833249351702779,Alphabet
69,hungarian,76652,10009,7.658,95,83921,31144,0.3711109257515997,Alphabet
70,macedonian,76882,11970,6.423,120,137916,34731,0.25182719916470897,Alphabet
71,galician,76884,11885,6.469,91,78648,28676,0.36461194181670226,Alphabet
72,finnish,77185,9022,8.555,79,80099,29175,0.3642367570131962,Alphabet
73,shona,77337,8931,8.659,79,77356,26886,0.34756192150576554,Alphabet
74,russian,77435,10469,7.397,111,140228,36782,0.26230139487120974,Alphabet
75,swedish,77465,11975,6.469,81,80387,29180,0.36299401644544516,Alphabet
76,maori,77468,15820,4.897,87,77621,23142,0.2981409670063514,Alphabet
77,welsh,77478,12838,6.035,87,77851,29629,0.3805859911882956,Alphabet
78,twi,77728,15788,4.923,92,84335,27147,0.32189482421296023,Alphabet
79,bulgarian,77752,11821,6.577,114,139289,35406,0.25419092677813754,Alphabet
80,bambara,77761,15569,4.995,91,85259,26142,0.3066186560949577,Alphabet
81,armenian,77772,10122,7.683,151,140621,34543,0.2456460983779094,Alphabet
82,danish,77831,12237,6.36,82,79347,28878,0.3639457068320163,Alphabet
83,chichewa,77979,9953,7.835,80,78107,26259,0.3361926587885849,Alphabet
84,corsican,78135,12923,6.046,94,80570,29565,0.36694799553183566,Alphabet
85,portuguese,78523,12057,6.513,103,80900,29369,0.3630284301606922,Alphabet
86,sundanese,78717,10606,7.422,76,79584,28384,0.35665460394049053,Alphabet
87,english,78804,12737,6.187,76,78841,28320,0.35920396747884986,Alphabet
88,meiteilon (manipuri),78878,10723,7.356,118,206662,38101,0.18436384047381715,Alphabet
89,catalan,79004,12466,6.338,93,80565,29302,0.3637063240861416,Alphabet
90,xhosa,79330,8666,9.154,80,79357,28253,0.3560240432476026,Alphabet
91,romanian,79340,12245,6.479,89,83879,30635,0.3652284838875046,Alphabet
92,zulu,79363,8393,9.456,80,79398,28037,0.35311972593768104,Alphabet
93,uzbek,79406,9609,8.264,82,79438,27483,0.34596792467081244,Alphabet
94,ewe,79463,15005,5.296,109,87890,28063,0.3192968483331437,Alphabet
95,lao,79819,3268,24.424,139,217546,44099,0.20271115074512977,Abugida
96,maltese,79908,10346,7.724,95,83367,30570,0.36669185648997804,Alphabet
97,malayalam,79932,7558,10.576,118,217256,38991,0.17947030231616157,Abugida
98,guarani,79996,9963,8.029,110,86408,29762,0.3444357003981113,Alphabet
99,frisian,80019,12829,6.237,87,80986,29332,0.36218605684933197,Alphabet
100,samoan,80115,16387,4.889,82,80553,25240,0.3133340781845493,Alphabet
101,albanian,80271,13507,5.943,83,86593,30290,0.3497973277285693,Alphabet
102,afrikaans,80995,13119,6.174,81,81182,28906,0.35606415215195486,Alphabet
103,italian,81419,12101,6.728,84,82107,29679,0.3614673535752128,Alphabet
104,spanish,81673,12711,6.425,91,83052,29769,0.35843808698165003,Alphabet
105,irish,81697,13471,6.065,88,86492,30447,0.3520209961614947,Alphabet
106,vietnamese,81731,17827,4.585,194,108772,31219,0.2870132019269665,Alphabet
107,tamil,81745,8438,9.688,106,220650,37785,0.17124405166553366,Abugida
108,luxembourgish,81902,12174,6.728,88,84250,30287,0.35948961424332343,Alphabet
109,oromo,82285,10734,7.666,78,83649,27108,0.3240684287917369,Alphabet
110,mizo,82327,14879,5.533,85,82614,27717,0.33550003631345776,Alphabet
111,greek,82827,12659,6.543,139,147877,39007,0.2637800334061416,Alphabet
112,sesotho,82968,15295,5.425,84,83359,27642,0.33160186662507946,Alphabet
113,yiddish,83165,13541,6.142,104,148860,36084,0.24240225715437325,Alphabet
114,somali,83166,12913,6.44,78,83199,29488,0.35442733686702965,Alphabet
115,myanmar,83364,5702,14.62,146,230319,42018,0.18243392859468824,Alphabet
116,luganda,83501,10508,7.946,79,86136,28634,0.33242778861335565,Alphabet
117,malay,84296,11122,7.579,77,84325,27352,0.3243640675956122,Alphabet
118,lingala,85371,13994,6.101,97,86235,27942,0.32402156896851625,Alphabet
119,french,85649,13161,6.508,98,88514,31291,0.35351469823982645,Alphabet
120,malagasy,86647,12152,7.13,84,86983,26639,0.3062552452778129,Alphabet
121,indonesian,86894,11327,7.671,76,86943,28117,0.323395788045041,Alphabet
122,quechua,87448,9233,9.471,92,88400,29079,0.32894796380090496,Alphabet
123,dutch,87585,13449,6.512,86,87782,31118,0.3544918092547447,Alphabet
124,scots gaelic,88224,14430,6.114,90,90283,30076,0.33313026815679586,Alphabet
125,aymara,88800,10072,8.817,102,92993,29379,0.3159270052584603,Alphabet
126,german,88863,12411,7.16,84,90292,32413,0.3589797545740486,Alphabet
127,cebuano,88993,14273,6.235,77,89038,28383,0.3187740066039219,Alphabet
128,sepedi,90418,17154,5.271,79,93027,29304,0.3150053210358283,Alphabet
129,filipino,90593,14121,6.415,76,90624,29350,0.3238656426553672,Alphabet
130,ilocano,92717,13905,6.668,76,92756,29292,0.3157962827202553,Alphabet
131,hmong,94085,18482,5.091,80,94114,26855,0.28534543213549524,Alphabet
132,tsonga,94349,15910,5.93,78,94960,29446,0.31008845829823084,Alphabet
133,dhivehi,96358,9575,10.063,110,179830,36303,0.20187399210365345,Alphabet
