language,raw_size_bytes,compressed_size_bytes,compression_ratio
zh-CN,648,423,0.653
zh-TW,648,432,0.667
la,693,383,0.553
bs,697,399,0.572
sl,698,402,0.576
hr,718,410,0.571
gl,727,404,0.556
sk,728,458,0.629
cs,728,449,0.617
pt,730,405,0.555
et,737,411,0.558
eu,738,386,0.523
en,739,387,0.524
uz,739,413,0.559
tk,740,429,0.58
mt,741,431,0.582
ku,741,421,0.568
rw,746,396,0.531
no,754,403,0.534
fy,755,412,0.546
da,760,421,0.554
ht,761,404,0.531
lt,768,450,0.586
ca,769,420,0.546
kri,770,382,0.496
af,771,400,0.519
sv,772,427,0.553
pl,773,448,0.58
eo,779,415,0.533
jw,780,400,0.513
es,783,429,0.548
mi,785,380,0.484
su,788,424,0.538
sm,788,383,0.486
az,791,453,0.573
hu,793,462,0.583
tr,797,441,0.553
sw,798,411,0.515
lv,801,463,0.578
sq,803,432,0.538
nl,804,409,0.509
ha,806,408,0.506
it,808,425,0.526
co,808,450,0.557
lus,809,393,0.486
lb,811,452,0.557
cy,811,435,0.536
sn,814,409,0.502
is,816,461,0.565
ny,822,420,0.511
ro,823,451,0.548
ga,825,439,0.532
zu,826,447,0.541
haw,833,404,0.485
ja,835,485,0.581
bm,842,448,0.532
lg,843,451,0.535
fi,843,443,0.526
ee,846,449,0.531
de,850,458,0.539
ceb,857,405,0.473
so,860,465,0.541
om,861,457,0.531
mg,866,420,0.485
xh,867,462,0.533
ak,867,428,0.494
id,870,426,0.49
gn,873,479,0.549
ms,875,433,0.495
ln,876,428,0.489
ay,879,481,0.547
ig,885,433,0.489
ilo,886,425,0.48
fr,893,476,0.533
tl,911,434,0.476
hmn,931,436,0.468
gd,942,476,0.505
qu,954,489,0.513
ko,961,548,0.57
vi,962,519,0.54
nso,963,470,0.488
iw,979,421,0.43
yo,995,500,0.503
st,1009,475,0.471
ts,1025,502,0.49
ps,1047,468,0.447
ar,1060,460,0.434
fa,1091,473,0.434
tt,1156,513,0.444
kk,1185,523,0.441
uk,1192,529,0.444
am,1206,545,0.452
ky,1222,550,0.45
sr,1224,516,0.422
tg,1232,499,0.405
ur,1239,532,0.429
hy,1251,544,0.435
sd,1253,534,0.426
be,1260,561,0.445
mk,1271,518,0.408
ti,1291,547,0.424
ckb,1301,522,0.401
bg,1308,548,0.419
ru,1321,561,0.425
mn,1330,545,0.41
ug,1388,572,0.412
el,1430,616,0.431
yi,1551,577,0.372
si,1670,559,0.335
dv,1720,598,0.348
bho,1740,582,0.334
ne,1741,597,0.343
th,1745,562,0.322
or,1757,603,0.343
mai,1758,604,0.344
hi,1784,591,0.331
bn,1785,577,0.323
gu,1800,564,0.313
as,1829,617,0.337
te,1835,607,0.331
ka,1881,562,0.299
pa,1913,634,0.331
gom,1932,594,0.307
doi,1950,605,0.31
lo,1962,671,0.342
sa,1970,616,0.313
kn,1972,609,0.309
km,1984,643,0.324
mr,1996,603,0.302
ml,2042,647,0.317
mni-Mtei,2056,598,0.291
my,2248,591,0.263
ta,2256,625,0.277
